"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08"
"California",1,330062.5,335000,337500,339900,342370,345000,339900,339900,329900,324900,315000,299900,299000,294900,299000,299000,299984,299950,299900,299900,299000,299000,289900,284900,281900,285000,289000,295000,299900,309900,318800,320000,324500,325000,328000,325000,329000,349900,365000,385000,399900,405000,415000,410000,415000,410000,399900,399000,395000,399000,410000,425000,429000,435000,435000,430000,425000,420000,419950,399900,405000,415000,425000,435000,449000,450000,449900,450000,455000,455000,450000,449900,449000,458800,469500,479990,489000,495000,495000,489000,489000,489000,480000,475000,475000,485000,499000,504990,510000,514999,513000,504280,508508,509000,499999,499000,499000,503165,520000,529999,539000,545000,539900,535000,539000,535000,529900,522500,519000,525000,539000,549000,549900,550000,549990,549000
"Texas",2,169900,169900,169900,170000,174000,174900,169993.5,169900,173000,172500,172000,169900,168000,168000,169750,169500,169950,170494.5,170000,169950,168747.5,168500,167000,166973,165990,169000,169900,170000,174900,175000,174900,174500,172046,171500,173990,174900,174800,179490,182115,185000,189000,189900,189900,189900,189990,193550,189995,191000,192995,198990,201450,209900,215000,213400,214900,219900,218990,218900,219990,225000,229900,234900,239900,245000,245000,245000,246990,248990,249000,249900,249990,255645,254995,247900,250000,254982,257900,259000,259000,258000,256990,259900,255000,254990,254195,259855,265000,270000,274900,275000,272500,270000,269900,269900,269207.5,269000,269000,270000,274990,279500,280000,280000,279900,275513.5,276000,275000,275000,274900,275000,275000,279000,283900,283950,284490,280000,279000
"New York",3,349000,345999,345000,339900,349500,349000,347900,339900,348900,345000,339990,339000,334900,319750,329900,329000,325000,324000,319000,310000,309000,305000,305000,3e+05,3e+05,309000,305000,319000,317000,309900,3e+05,299900,3e+05,308000,299990,304000,308945,319000,320000,319000,315000,299900,299000,295000,295000,299000,3e+05,3e+05,310000,324990,325000,325000,329000,329999,325000,322000,322000,325000,325000,325000,330000,334900,339000,335000,334900,339000,329999,325000,324000,325000,325000,325000,339900,349000,345000,350000,349500,349900,334500,329900,330000,330000,339900,339900,349900,360000,364021,360600,359000,350000,349900,339990,349000,349500,349900,350000,360000,389000,395000,395000,395000,394945,380000,375000,380000,389000,393850,398000,399900,409900,419990,429000,424825,415850,399900,399000
"Florida",4,199900,199800,199000,194900,190000,188600,184900,180000,179900,176700,179000,174900,174889,174900,175000,170900,175000,175900,175000,176500,179000,179900,178000,178500,178900,179900,179990,179000,178000,179500,179900,180000,179900,175000,179900,180000,187990,189900,195000,199000,199900,199900,199900,199500,199900,199900,205000,2e+05,202990,209000,210000,214900,211990,209900,218000,219000,219900,219000,223900,224900,225000,228000,226900,228650,229990,231800,234900,239900,243993.5,245000,249900,249997,249950,250000,255000,259900,259900,259900,259900,259000,260000,263990,265000,265900,271854.5,275000,275000,279500,279950,280000,280900,279990,284900,280000,284990,285000,287490,289000,289900,290000,294490,294999,293000,289990,290000,289990,293000,295000,294900,295000,295000,299000,299000,299000,299000,298500
"Illinois",5,214900,214900,215000,214900,213800,210000,2e+05,199900,196500,195000,190000,184900,179900,179000,179900,180000,184000,183000,179900,177990,174900,169900,165000,160000,159900,160000,164000,164900,164900,165000,159990,159900,159000,155000,154900,149900,149900,154900,159900,165000,169900,173900,169900,169900,169500,165000,164900,159900,159900,165000,174900,180000,189900,190000,189900,189000,185000,184000,179900,175000,174900,179900,189900,195000,202990,204900,199900,199000,196000,194900,189900,185000,185000,192500,203500,214495,215000,215000,210000,204900,2e+05,199900,199000,190000,190000,199900,214900,220000,225000,226900,224900,219900,219880.5,218000,214900,207900,209900,219900,229000,235000,236029,237500,234900,230000,230000,229900,229000,225000,225000,230000,239900,249000,248900,246900,241856.5,239000
"Pennsylvania",6,189900,189900,189900,189900,189900,189900,189900,185500,185000,184900,182106,179900,179900,179900,179900,179900,182500,184500,179999,179900,179000,175000,174990,174500,174900,174900,177500,179000,176000,175000,174900,169900,169500,168000,166700,164900,164900,169400,169900,174900,179900,179900,177500,173500,174900,169900,169900,174900,169900,169900,174900,179900,184900,184900,179900,179000,179000,179900,179000,174900,174900,174900,179900,184900,189000,187000,184900,179900,184500,179900,179000,174900,170000,170000,179900,183900,185000,189900,184900,179900,180000,185000,179900,178900,177500,179900,191900,199500,199500,199000,198572.5,195000,194500,195000,195000,189900,189900,197500,199900,209900,214900,218000,214900,209900,206979,205000,205000,2e+05,199900,204900,215000,220000,224900,225000,224900,219000
"Ohio",7,129900,129900,129900,134000,131000,129900,129900,129900,129900,129000,126900,122000,119900,119900,120000,124500,125000,128500,127000,125900,125000,124900,124900,119900,119900,120000,124000,124900,125500,126900,125000,124900,123500,120000,120000,119900,118900,119900,120000,124900,128900,129747,129000,126575,125000,125000,124900,122000,120900,124900,129500,130000,134900,137900,136000,134900,134800,132900,129900,129000,129500,129999,134900,139000,139900,139900,139900,139900,139500,135000,134900,130000,131325,133900,135994.5,142000,145500,147900,148500,144900,144900,142900,139900,139000,139000,139900,148000,150000,158000,159900,159900,159900,157000,157000,152000,149900,149900,152000,159900,165000,169900,172220,171000,169900,169500,165900,164900,160000,164740,165000,174600,179900,179900,180000,179900,179000
"Michigan",8,128500,127900,126900,127900,127000,124900,123000,120000,119900,119900,118000,110000,109000,108000,107900,109000,114900,115000,114900,114900,114900,110000,109900,101900,99999,99900,105000,109000,110000,114400,114900,112900,110000,109900,109900,106900,109000,109900,114900,119900,125000,129900,129900,129900,129900,128000,124900,122000,119900,121700,127000,134900,139900,140000,139900,139900,139900,138000,133000,129900,129900,129900,135500,140000,147500,149900,149900,149000,145900,143000,139900,139000,137000,139000,144900,149900,154900,156000,159000,155900,154900,154500,149900,149900,149900,152500,159900,165000,169900,174900,174900,172000,169900,169900,169000,164900,164900,167900,170000,184000,184900,185900,186090,184900,183900,179900,179700,175000,174900,175000,179900,189000,194000,195000,194900,189900
"Georgia",9,179500,179000,179000,179500,177900,174900,172500,170000,169900,169000,165000,159900,158800,155000,155000,153900,154925,155000,154900,151900,150000,149900,149000,145000,144900,147900,149700,149900,149999,150000,154000,155000,154900,157250,159900,159900,159990,164999,168995,172037,175000,177900,178500,176000,178000,176000,175000,174500,172900,175000,179900,185000,189000,190000,190000,189900,187000,185000,185500,183500,184500,185900,189000,190000,195000,197000,198000,199500,199500,199000,199000,199000,199012.5,199000,2e+05,210000,215000,219000,219000,215900,215550,218000,215000,214900,215000,218990,225000,230000,235000,237500,238060,236400,238900,239500,239900,239900,240000,245000,249845,253000,257875,259000,253900,250000,250350,250000,250000,249900,249900,253490,259900,264900,265000,264000,260000,259900
"North Carolina",10,199900,199900,199900,199900,199900,199000,197900,194900,192800,194900,194900,189900,187000,185000,187900,189000,189900,189900,189500,189000,187500,186000,185000,182500,180300,182500,185000,185000,184900,184500,181445,181900,179900,179900,179900,179900,179900,184900,187990,189900,194900,199000,195900,195000,195577.5,195000,192653,194900,189900,190400,198000,199500,199990,199900,199900,199900,199900,199599.5,199900,199000,199000,199900,199900,209000,215000,219000,218994.5,218500,217000,219000,219000,215900,219900,220000,224900,229000,229900,229900,229900,229900,229900,230000,229900,229900,229000,230000,238000,246329,249900,250000,250000,249900,250000,252000,254000,254000,255000,255990,259900,260000,261900,264900,260000,259900,263500,263000,263900,264900,264400,264990,269900,275000,275000,275000,275000,274900
